"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"177",-84.61091837,-88.94530612,-88.58040816,-97.84255102,-90.01755102,-86.00163265,-90.44979592,-89.81122449,-98.94020408,-90.69938776,-86.32918367,-90.95714286,-90.32326531,-99.49571429,-91.18795918,-86.58918367,-91.33918367,-90.58632653,-100.4108163,-91.92571429,-87.30979592,-92.11959184,-91.36591837,-100.8604082,-92.30653061,-87.77040816,-92.67040816,-91.67367347,-100.712449,-92.86510204,-87.925,-93.09714286,-92.32714286,-101.6771429,-92.93428571,NA,NA,NA,NA,NA
"178",-99.32510204,-91.4544898,-92.55061224,-96.83306122,-98.62081633,-109.4014286,-106.6769388,-104.2663265,-103.6002041,-107.8318367,-112.4869388,-110.4806122,-108.4753061,-107.8591837,-111.0516327,-111.4159184,-111.0128571,-109.3895918,-108.7471429,-106.7212245,-114.8297959,-113.8802041,-110.257551,-109.9316327,-109.607619,-116.3136735,-115.1383673,-111.3563265,-111.8093878,NA,-118.7723129,-118.6859048,-112.6282937,-115.0977249,NA,NA,NA,NA,NA,NA
"179",-90.92535714,-95.21,-85.57204082,-93.74520408,-90.31734694,NA,-95.53428571,-86.00469388,-94.21632653,-90.73081633,NA,-96.11469388,-86.62755102,-94.88755102,-91.59163265,NA,-97.4122449,-87.40367347,-95.87081633,-91.7177551,NA,-97.39058957,-87.60739229,-95.90213152,-92.23095238,NA,-96.38642857,-87.08142857,-95.28785714,-92.33857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",-105.5754082,-107.4685714,-99.36785714,-98.56428571,-108.1457143,-103.7773469,-105.8389796,-97.51571429,-98.59857143,-106.5330612,-107.127551,-110.6055102,-102.5502041,-100.3308163,-111.3802041,-108.2404082,-112.042449,-103.5814286,-101.5426531,-112.3130612,-108.0595918,-110.5791837,-104.3953061,-101.6612245,-110.3620408,-109.6928571,-112.0771429,-104.5239286,-102.9035714,-112.1267857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",-88.4122449,-102.5204082,-107.7787755,-101.0122449,-107.3644898,-87.0944898,-101.1444898,-105.1008163,-98.52530612,-103.8132653,-85.59707483,-98.33843537,-103.90678,-97.3778458,-97.25365079,-87.09693878,-102.007551,-108.357551,-99.88877551,-107.0063265,-85.79571429,-101.6755102,-106.7663265,-99.1022449,-106.2179592,-85.15285714,-101.6393878,-109.0632653,-99.62632653,-107.4587755,-81.21928571,-94.12357143,-107.5842857,-99.26714286,-105.425,NA,NA,NA,NA,NA
"182",-93.13428571,-94.86102041,-88.37489796,-84.05265306,-94.24591837,-101.4955102,-96.80142857,-88.56040816,-86.76020408,-96.54918367,-104.6279592,-92.60183673,-88.30204082,-86.77081633,-94.07979592,-104.4710204,-92.09469388,-87.92959184,-86.72857143,-92.17755102,-105.6530612,-93.53795918,-88.62326531,NA,-92.2044898,-106.6430952,-95.36040816,-90.78666667,NA,-94.45452381,NA,-96.78793651,NA,NA,NA,NA,NA,NA,NA,NA
"183",-103.8053061,-104.5779592,-105.3881633,-104.9889796,-101.3508163,-105.6681633,-108.8140816,-107.9508163,-109.4857143,-103.4542857,-107.5334694,-107.4795918,-109.822449,-109.8081633,-103.6546939,-103.4797959,-105.9142857,-107.1463265,-107.2930612,-102.7177551,-98.33040816,-100.3314286,-101.2922449,-102.1112018,-97.81693878,-103.127551,-103.6906122,-107.2920408,-104.7995918,-100.4193878,-104.4317857,-103.9640476,NA,-104.2821429,-102.4180952,NA,NA,NA,NA,NA
"184",-99.53061224,-101.5140816,-102.1371429,-81.53918367,-102.7210204,-99.61591837,-104.8595918,-97.24673469,-79.43877551,-100.0020408,-95.29244898,-94.50836735,-92.19142857,-79.00489796,-94.17142857,-91.17199546,-95.12367347,-90.8085034,-79.24646259,-94.82303855,-99.60938776,-102.7304082,-102.9842857,-79.51163265,-102.707551,-102.7345351,-106.0447392,-108.3587528,-81.0662585,-106.8046485,-105.135,-108.426,-109.5168571,-82.38214286,-110.653254,NA,NA,NA,NA,NA
"185",-89.78030612,-88.93295918,-87.77857143,-87.36520408,-92.73969388,-90.6555102,-90.11306122,-88.8455102,-88.51918367,-93.52795918,-91.23183673,-91.51061224,-90.24040816,-89.7144898,-94.53367347,-92.34632653,-92.95693878,-91.56040816,-91.34959184,-95.87755102,-93.45632653,-94.08408163,-92.74387755,-92.63714286,-97.32244898,-94.09547619,-95.36333333,-93.83809524,-94.18833333,-98.1002381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",-109.7561224,-105.9473469,-106.1369388,-107.9534694,-108.0273469,-111.9885714,-108.5610204,-108.8191837,-110.4977551,-110.4438776,-112.8953061,-108.7581633,-109.0781633,-110.7487755,-110.2883673,-113.9153571,-109.834898,-110.7446939,-112.2295918,-111.6379592,NA,-108.1734694,-109.1920408,-109.965102,-109.9716327,NA,-109.04,-109.7746939,-110.5242857,-110.5165306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
