"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"44",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1680,1680,1020,1440,1680,NA,NA,NA,NA,NA
"45",3120,3120,3120,3120,3120,3360,3360,3356,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1200,1200,1200,1200,1200,NA,NA,NA,NA,NA
"46",3120,3120,3120,3120,3120,3300,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,1560,1200,1200,3120,NA,NA,NA,NA,NA
"47",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,3120,3120,3120,3120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,602,3360,3360,3360,3360,NA,1500,1740,2100,2880,NA,NA,NA,NA,NA,NA
"49",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,660,3360,3360,1800,1376,NA,1980,1440,NA,NA,NA,NA,NA
"50",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,720,240,720,720,NA,NA,NA,NA,NA
"51",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,600,841,2160,720,540,NA,NA,NA,NA,NA
"52",3120,3120,3120,3120,3120,3360,3360,2940,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,2040,1500,NA,1620,2160,NA,NA,NA,NA,NA
"53",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1620,1260,1980,1196,1560,NA,NA,NA,NA,NA
"54",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,300,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,1200,1200,2760,NA,1200,NA,NA,NA,NA,NA
"55",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1200,1200,1200,240,1200,NA,NA,NA,NA,NA
"56",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2640,240,240,240,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"58",3120,3120,3120,1500,3120,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,1320,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,2460,2580,3180,NA,NA,NA,NA,120,NA,NA
"59",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,720,3360,720,720,720,NA,720,NA,NA,NA,NA,NA
"60",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,1860,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,3360,3360,3360,3360,NA,2760,3120,2640,2400,NA,NA,120,NA,NA
"61",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,1500,3360,3360,2460,2400,NA,2160,2040,NA,NA,NA,NA,NA
"62",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3120,3360,240,2401,1560,NA,1140,NA,NA,NA,NA,NA
"63",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"64",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,240,240,240,240,240,NA,NA,NA,NA,NA
"65",NA,3120,3120,3120,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,3360,3360,3360,NA,NA,240,240,1980,NA,NA,NA,NA,NA,NA
"66",3120,3120,3117,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,2580,3360,240,240,240,NA,240,NA,NA,NA,NA,NA
"67",3120,3120,3120,3120,3120,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,3360,180,3360,3360,3360,3360,NA,3360,NA,2040,2640,NA,420,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,3360,NA,NA,NA,NA,3360,NA,NA,NA,NA,3360,NA,NA,NA,NA,3360,NA,NA,NA,NA,3360,NA,NA,NA,NA,3360,NA,NA,NA,NA,1561.8,NA,NA,NA,NA,NA
