"","hex","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"30","hex_30",-1.20956387573645,-1.48188328729413,-0.919617891969586,-1.32267663108638,-1.08752553559647,-1.19224466803003,-1.43809466654921,-0.897073360275196,-1.3087621485205,-1.02392325825721,-1.24584292014427,-1.49642695762542,-0.989279594592573,-1.31923380108909,-0.977423457838346,-1.22560631006699,-1.52035203442022,-0.99808040306545,-1.30136159215968,-1.02465621774712,-1.30694156125862,-1.47495560652867,-0.788476615520199,-1.28585114287392,-1.06099700152301,-1.32731215816117,-1.74993496648132,-1.06997382917759,-1.53538959652508,-1.18624173386261,-1.29206478334408,-1.64443085546183,-1.09249550259215,-1.51728777368385,-1.18918514578147,0,0,0,0,0
"31","hex_31",0.0819760995425698,-0.396317742292266,1.31789364266722,0.274674445527329,0.402162726721626,-0.386303208978134,-0.699031482989176,1.19940583290727,-0.0889356410866882,0.245689567422706,-0.357565288345839,-0.562345700793395,1.22315225944315,0.0725421526335251,0.206201512482162,-0.588968807668816,-0.730974486654524,1.09533296301499,-0.30831489422973,0.0732751237089805,-0.516783773394801,-0.808384833330959,1.17643177640894,-0.0741686709654932,0.0510970775523168,-0.312192506551169,-0.673968879481082,1.21750135089503,0.138556111728865,0.0489218335939191,-0.863929248426849,-0.753965884396261,0.973273337912157,-0.226492575150403,-0.0410245591171463,0,0,0,0,0
"32","hex_32",0.235165374408572,0,0.157991453944271,-0.430530574303517,-0.652027271122095,0.805717987530655,0,0.56554255176635,1.18075862286308,0.214524185522357,0.669074237691302,0,1.02007421072442,1.77547537354497,0.977775149263418,-0.1425470312087,0,0.271269708801245,0.877774297133833,-0.230011325222574,-0.649457956443871,0,-0.457153681178938,0.426516014519579,-0.367779475353,-0.723432053712446,0,-0.78825593406341,-0.164073552669645,-0.634930054039017,-0.6968877632981,0,-0.637663559057729,-0.0181403508356267,-0.557458489344015,0,0,0,0,0
"33","hex_33",0.348109986430135,0.669489319955124,0.751444570416592,0.884171304338189,1.26834639213746,-0.527659993186788,-0.584925684254784,-0.342196704055798,0.12380227961544,0.652646932722046,-0.778593439112677,-0.889483646724909,-0.879907846405695,-0.461882471889127,0.184827364106036,-0.820251478174292,-1.0170244718404,-0.923749019181696,-0.444656527818101,0.00913954057283729,-0.793749220116371,-0.809094158309537,-0.886433578280887,-0.339524938405168,0.0393223755922824,-1.2496995162875,-1.23014595517325,-1.2469331778349,-0.667272376675972,-0.215606889968339,0,0,-1.52437150015183,0,-0.401897722976747,0,0,0,0,0
"34","hex_34",0.821772242592516,0.806450950496228,0.635646919518147,1.04329258782508,1.52054609987447,-0.437812911765496,-0.136754258823416,1.20400589894662,1.1527273845466,0.868965604697739,-0.892202704569291,-0.597646148991073,-0.187234134121667,0.4134409000381,0.710385505178171,-1.00723323831618,-0.928561874604739,-0.592420825003109,0.277890025063944,0.596626489604069,-0.620486216347017,-0.716197008444223,-0.813223976355086,0.182392036253085,0.604129508522836,-1.1157800725443,-1.18295259770225,-0.463892216340476,0.038045602216388,0.45011269557219,-1.29398467031019,0.234148684927232,-0.502636792116458,-0.26495185688641,0.496809533668072,0,0,0,0,0
"35","hex_35",-1.5406438148617,-1.46760233077606,-1.13969727116866,0,-1.18094023491778,-1.46445768953008,-1.42350633394283,-1.15940320536772,0,-1.18054090436063,-1.27168840525469,-1.34027956878424,-1.13727245140481,0,-1.0318203478958,-1.60485557295471,-1.5580405182771,-1.38042702659095,0,-1.25953541208681,-1.06199004490748,-0.733740825107116,-0.88293426875284,0,-0.727900772113625,-0.891446098982506,-0.988977478341591,-0.953369654055604,0,-0.545061956439511,-1.4588635281388,-1.52287142698603,-1.20067375429894,0,-1.30850206462594,0,0,0,0,-0.874496006732468
"36","hex_36",1.29102621287235,0.95405236766586,0.888450862074234,0.761435461109511,0.766939251775918,0.751596943501415,0.202749495147868,-0.235515119364645,0.0416158500350632,0.354756568281384,0.477421479012203,-0.0238306606629588,-0.573694807766282,-0.372082682661587,0.178112475041376,0.296227243003816,-0.195079204664242,-0.674360308696699,-0.483183063641503,0.0218337292935859,0.165793970780902,-0.357801726143517,-0.867471111660837,-0.780051978100477,-0.134437149869304,0.00896352139113832,-0.567878389284123,-1.1935450875028,0,-0.253413604309599,0,0,0,0,0,0,0,0,0,0
"37","hex_37",0,0.775832011241975,0.466758049762463,0,0.52979287059453,0,0.726676200354818,-0.286089567464857,0,0.827919675149978,0,-0.150656912548094,-0.762728333130404,0,-0.325362200785937,0,-0.393338612138872,-1.1481486711968,0,-0.550523718225153,0,-0.577170471197451,-1.09258534849184,0,-0.806740265250777,0,-0.744002315893576,-1.29102917466813,0,-0.705746372053837,0,-0.902889778757353,-1.46280261336079,0,-0.988788321152121,0,0,0,0,0
"38","hex_38",0.00106644333808898,0.109875979793885,-0.10849971029004,0.176930274467443,0.109994198692724,-0.595305393940084,-0.538299786766641,-0.945992732206119,-0.307345496942143,-0.438214860655766,-0.209695898684218,-0.537093940095831,-0.639732412958497,-0.37239004716435,-0.387451255366084,-0.779870212488571,-0.690685163852104,-1.08731274389567,-0.384637624719739,-0.717284624630648,0.585805433224953,0.450845658537763,0.279994342317256,0.34198882409544,0.745402223384417,0.547951438275484,0.460279601971143,0.0780695928724725,0.29486639332952,0.603598832644622,0,0.349480023441434,-0.706818231899376,-0.146274019862576,-0.396389989749454,0,0,0,0,0
"39","hex_39",0.671609395866432,1.27015121494857,1.02709909652761,1.14152802421554,0.918426160595986,0.395960124958522,-0.216197996048078,0.0591123860897492,-0.229533189789894,0.0155838376538373,0,-0.748849325502603,-0.399675186824596,-0.54967252825086,-0.401519420183352,0,-1.06264944777364,-0.468731347779058,-0.708313056813398,-0.660617917812835,0,-0.947269517167559,0.10209186080235,-0.583483411371842,-0.551422188807655,0,-1.21572313365947,0,-1.04740566297187,-0.929631116117159,0,-1.31814880323579,0,0,-1.19501101806817,0,0,0,0,0
"40","hex_40",0.91445660075703,1.47069279169139,1.28181294626154,1.87433080688816,1.9062028768971,0.422047304228281,0.875136681034969,0.710551012795099,1.05797549207487,1.3980703416989,-0.187352353020506,0.465102971276067,0.249115320327003,0.426279574404792,0.81524650724166,-0.116775102722026,0.308248879265088,0.124015071316241,0.290657770408442,0.697334034476461,-0.58606060422051,0.0449732829818495,-0.194681982676238,-0.139851619461193,0.316264187802523,-0.523876965252855,0.0577410283263474,-0.243530416316533,-0.230904535967751,0.387929056604537,-0.0468504314038383,0.245899740790387,0.0610689181339676,-0.0921002558118578,0.796146909479489,0,0,0,0,0
"41","hex_41",-1.01268055292749,-0.947592649596755,-1.48855220491715,-1.11658529107695,-1.50967677748782,-1.4552094820748,-1.08381343436762,-1.48935478194558,-1.16460487167327,-1.58013974797269,0,-1.16049082155415,-1.58664972350699,-1.28098048716802,-1.58646056631752,0,-1.19790083525692,-1.58315041397894,-1.1782684576816,-1.67238275480917,0,-1.20865358789829,-1.48978037693273,-1.15401237028717,-1.60296405898774,0,-1.03662006531107,-1.58175542170421,-1.33427399311261,-1.48930750133737,0,-1.14171751212357,-1.6313998749546,-1.52569556572148,-1.66182571677561,0,0,0,0,0
"42","hex_42",-0.675726406622777,-0.0472145419048884,0.15349910103176,0.179341967809063,-0.186595747433721,-0.89586752518993,-0.416036814499101,-0.462260774682519,0.119688229496323,-0.643255356997875,-1.14514326502787,-0.563083920120631,-0.583233835566394,-0.41845112617384,-0.981277424062909,-1.01257415128432,-0.0699902515596307,-0.294530459403893,0.308177952560004,-0.366928296964252,-1.18789418011323,0,-0.478740621255863,0.19806798504589,-0.718561398006544,-0.966610274995458,0,-0.0350379026401297,0.707808312329504,-0.445899147008013,-1.29679830095654,0,-0.655565983087905,-0.403994162059614,-1.06359784046856,0,0,0,0,0
